Data Type,Name,Label,Data Type,Vocabulary,FileName
OccPermFD,StDir,Street Direction,String,,occupancy-permits-field-definitions.xlsx
OccPermFD,StName,Street Name,String,,occupancy-permits-field-definitions.xlsx
OccPermFD,StrucType1,Structure Type 1,Integer,Permit Structure Type,occupancy-permits-field-definitions.xlsx
OccPermFD,StrucType2,Structure Type 2,Integer,Permit Structure Type,occupancy-permits-field-definitions.xlsx
OccPermFD,StrucType3,Structure Type 3,Integer,Permit Structure Type,occupancy-permits-field-definitions.xlsx
OccPermFD,StType,Street Type,String,,occupancy-permits-field-definitions.xlsx
OccPermFD,TmpCityBlock,Temp City Block,Decimal,,occupancy-permits-field-definitions.xlsx
OccPermFD,TmpParcel,Temp Parcel,Integer,,occupancy-permits-field-definitions.xlsx
OccPermFD,UnitNum,Unit Number,String,,occupancy-permits-field-definitions.xlsx
OccPermFD,UpDateGeo,Geo Updated,Date,,occupancy-permits-field-definitions.xlsx
OccPermFD,Ward00,2002 Ward,Integer,,occupancy-permits-field-definitions.xlsx
OccPermFD,Ward10,2012 Ward,Integer,,occupancy-permits-field-definitions.xlsx
BuilPermFD,AddrAdjusted,Address Adjusted,Boolean,,building-permits-field-definitions.xlsx
BuilPermFD,AddrNum,Address Number,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,AddrSuf,Address Suffix,String,,building-permits-field-definitions.xlsx
BuilPermFD,AppDate,Application Date,Date,,building-permits-field-definitions.xlsx
BuilPermFD,AppDescription,Application Description,String,,building-permits-field-definitions.xlsx
BuilPermFD,AppNum,Application Number,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,AppSource,Application Source,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,AppType,Application Type,String,Permit Application Type,building-permits-field-definitions.xlsx
BuilPermFD,AsrNbrhd,Assessor Neighborhood,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,CancelDate,Canceled Date,Date,,building-permits-field-definitions.xlsx
BuilPermFD,CancelType,Cancel Type,String,,building-permits-field-definitions.xlsx
BuilPermFD,CDADist,CDA District,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,CDASubDist,CDA Sub District,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,CensBlock00,2000 Census Block,Decimal,,building-permits-field-definitions.xlsx
BuilPermFD,CensGroup10,2010 Census Group,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,CensTract10,2010 Census Tract,Decimal,,building-permits-field-definitions.xlsx
BuilPermFD,CityBlock,City Block,Decimal,,building-permits-field-definitions.xlsx
BuilPermFD,CompleteDate,Completed Date,Date,,building-permits-field-definitions.xlsx
BuilPermFD,ContrAddr,Contractor Address,String,,building-permits-field-definitions.xlsx
BuilPermFD,ContrCity,Contractor City,String,,building-permits-field-definitions.xlsx
BuilPermFD,ContrContact,Contractor Contact Person,String,,building-permits-field-definitions.xlsx
BuilPermFD,ContrName,Contractor Name,String,,building-permits-field-definitions.xlsx
BuilPermFD,ContrNum,Contractor License Number,Decimal,,building-permits-field-definitions.xlsx
BuilPermFD,ContrPhone,Contractor Phone,String,,building-permits-field-definitions.xlsx
BuilPermFD,ContrState,Contractor State,String,,building-permits-field-definitions.xlsx
BuilPermFD,ContrZIP,Contractor ZIP,String,,building-permits-field-definitions.xlsx
BuilPermFD,CorrAddr,Correspondent Address,String,,building-permits-field-definitions.xlsx
BuilPermFD,CorrCity,Correspondent City,String,,building-permits-field-definitions.xlsx
BuilPermFD,CorrCo,Correspondent Care Of,String,,building-permits-field-definitions.xlsx
BuilPermFD,CorrName,Correspondent Name,String,,building-permits-field-definitions.xlsx
BuilPermFD,CorrState,Correspondent State,String,,building-permits-field-definitions.xlsx
BuilPermFD,CorrZIP,Correspondent ZIP,String,,building-permits-field-definitions.xlsx
BuilPermFD,EstProjectCost,Estimated Project Cost,Decimal,,building-permits-field-definitions.xlsx
BuilPermFD,FirstDate,First Appearance Date,Date,,building-permits-field-definitions.xlsx
BuilPermFD,GeoCityBLockPart,City Block Part,Decimal,,building-permits-field-definitions.xlsx
BuilPermFD,Handle,Handle,String,,building-permits-field-definitions.xlsx
BuilPermFD,InspArea10,2012 Inspection Precinct,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,IssueDate,Issued Date,Date,,building-permits-field-definitions.xlsx
BuilPermFD,LastDate,Last Date Appeared,Date,,building-permits-field-definitions.xlsx
BuilPermFD,MainStrucType,Main Structure Type,Integer,Permit Structure Type,building-permits-field-definitions.xlsx
BuilPermFD,Nbrhd,Neighborhood,Integer,Neighborhood,building-permits-field-definitions.xlsx
BuilPermFD,NbrOfUnits,Units,Integer,,building-permits-field-definitions.xlsx
BuilPermFD,NewUse,New Use,String,,building-permits-field-definitions.xlsx
BuilPermFD,NewUseGroup1,New User Group 1,String,Permit Use Group,building-permits-field-definitions.xlsx
BuilPermFD,NewUseGroup2,New User Group 2,String,Permit Use Group,building-permits-field-definitions.xlsx
BuilPermFD,NewUseGroup3,New User Group 3,String,Permit Use Group,building-permits-field-definitions.xlsx
BuilPermFD,NLC,NLC,Decimal,,building-permits-field-definitions.xlsx
BuilPermFD,OccAddr,Occupant Address,String,,building-permits-field-definitions.xlsx
BuilPermFD,OccCity,Occupant City,String,,building-permits-field-definitions.xlsx
BuilPermFD,OccCo,Occupant Care Of,String,,building-permits-field-definitions.xlsx
BuilPermFD,OccName,Occupant Name,String,,building-permits-field-definitions.xlsx
BuilPermFD,OccState,Occupant State,String,,building-permits-field-definitions.xlsx
BuilPermFD,OccZIP,Occupant ZIP,String,,building-permits-field-definitions.xlsx
BuilPermFD,OldUse,Old Use,String,,building-permits-field-definitions.xlsx
BuilPermFD,OldUseGroup1,Old User Group 1,String,Permit Use Group,building-permits-field-definitions.xlsx
BuilPermFD,OldUseGroup2,Old User Group 2,String,Permit Use Group,building-permits-field-definitions.xlsx
BuilPermFD,OldUseGroup3,Old User Group 3,String,Permit Use Group,building-permits-field-definitions.xlsx
BuilPermFD,OwnerAddr,Owner Address,String,,building-permits-field-definitions.xlsx
